OBJECTID,vmoTipusKod,Torzsszam,vmoNev,Rendszam,VMOEov_EOVx,VMOEov_EOVy,vFkAllomas_AdatgazdaNev,vFkAllomas_Nevr,vFkAllomas_Leiras,vFkAllomas_TalajvizkutTelepulesNev,vFkAllomas_KapcsSzkmNev,vFkAllomas_AllomasTavmBemenetNev,vFkAllomas_AllomasTVA,vFkAllomas_TalajvizkutKatSzam,vFkAllomas_TalajvizkutJelzoszam,vFkAllomas_FkAllAdatforgTipNev,vFkAllomas_TalajvizkutVizminVanE,vFkAllomas_TalajvizkutTipuskodNev,vFkAllomas_TalajvizkutTerepmag,vFkAllomas_TalajvizkutKutperemmag,vFkAllomas_TalajvizkutKutmelyseg,vFkAllomas_TalajvizjutGyorsadat,vFkAllomas_FkAllVKImon,vFkAllomas_FkAllUzemelesNev
1,12,3476,Hegyeshalom,AAO818,290066.3,504282.45,ÉDUVIZIG,-,-,Hegyeshalom,Szigetközi szakaszmérnökség,nincs távmérő,1,-,2698,regisztrált,0,törzsállomás,128.29,129,930,0,1,üzemel
2,12,4126,Rajka,ABE173,294970,515432.93,ÉDUVIZIG,-,-,Rajka,Szigetközi szakaszmérnökség,nincs távmérő,1,-,3265,regisztrált,0,törzsállomás,126.89,128.1,800,0,0,üzemel
3,12,4127,Jánossomorja,AAP254,271347,506174,ÉDUVIZIG,-,-,Jánossomorja,Hansági szakaszmérnökség,nincs távmérő,1,-,3264,regisztrált,0,törzsállomás,116.31,117.31,900,0,0,üzemel
4,12,4129,Bezenye,AAM350,294124.2,514843.6,ÉDUVIZIG,-,-,Bezenye,Szigetközi szakaszmérnökség,nincs távmérő,1,-,3218,regisztrált,0,törzsállomás,125.75,126.72,860,0,0,üzemel
5,12,134,Bezenye,AAM354,291501.52,511666.81,ÉDUVIZIG,-,-,Bezenye,Szigetközi szakaszmérnökség,"csak ""tárolt"" adatok (reg) átadása",1,-,2647,regisztrált,0,törzsállomás,125.89,126.85,907,0,0,üzemel
6,12,135,Bezenye,AAM355,293128.77,513539.66,ÉDUVIZIG,-,-,Bezenye,Szigetközi szakaszmérnökség,nincs távmérő,1,-,2648,regisztrált,0,törzsállomás,127.57,128.54,984,0,0,üzemel
7,12,209,Nagyigmánd,ABD008,255422.36,577526.12,ÉDUVIZIG,-,-,Nagyigmánd,Tatai szakaszmérnökség,nincs távmérő,1,-,1056,regisztrált,0,törzsállomás,125.92,126.47,632,0,1,üzemel
8,12,110613,Rajka,ACA245,296529.54,514935.26,ÉDUVIZIG,-,-,Rajka,Szigetközi szakaszmérnökség,nincs távmérő,0,-,9314,regisztrált,0,üzemi állomás,127.2,127.88,1124,0,0,üzemel
9,12,110790,Máriakálnok,ACA951,280471.37,520871.47,ÉDUVIZIG,-,-,Máriakálnok,Szigetközi szakaszmérnökség,nincs távmérő,0,-,9570-6,regisztrált,0,üzemi állomás,118.96,119.77,3530,0,0,üzemel
10,12,110634,Rajka,ACA638,295887.1,512455.31,ÉDUVIZIG,-,-,Rajka,Szigetközi szakaszmérnökség,nincs távmérő,0,-,9368,regisztrált,0,üzemi állomás,129.01,129.97,1700,0,0,üzemel
